STORE|CASH_MACHINE|CASHIER|BUSINESS_DATE|CLOSE_DATETIME|TRANSACTIONS_COUNT|TRANSACTIONS_TOTAL
1|1|SUSY SUSY|2022-01-31 00:00:00.0||16610|142674.8499
1|1|JENNY JENNY|2022-01-29 00:00:00.0||16610|142674.8499
1|1|JENNY JENNY|2022-01-28 00:00:00.0||12080|103763.5272
1|1|SUSY SUSY|2022-01-26 00:00:00.0||12080|103763.5272
1|1|JENNY JENNY|2022-01-25 00:00:00.0||10570|90793.0863
1|1|JENNY JENNY|2022-01-24 00:00:00.0||16610|142674.8499
1|1|SUSY SUSY|2022-01-22 00:00:00.0||14345|123219.1886
1|1|JENNY JENNY|2022-01-21 00:00:00.0||15855|136189.6295
1|1|JENNY JENNY|2022-01-19 00:00:00.0||6795|58366.9841
1|1|SUSY SUSY|2022-01-18 00:00:00.0||6040|51881.7636
1|1|JENNY JENNY|2022-01-17 00:00:00.0||6795|58366.9841
1|1|JENNY JENNY|2022-01-15 00:00:00.0||12835|110248.7477
1|1|SUSY SUSY|2022-01-14 00:00:00.0||29445|252923.5976
1|1|JENNY JENNY|2022-01-14 00:00:00.0||36995|317775.8021
1|1|SUSY SUSY|2022-01-13 00:00:00.0||49830|428024.5498
